.tabfm_row_id,round_tier,position,height_inches,weight_lbs,bmi_proxy,weight_position_pct,height_position_pct,sophomore_feature_coverage,school_drafts_prior_5y,school_position_drafts_prior_5y,so_defensive_tot_pct,so_rushing_yds_pct,so_rush_yds_share_pct,so_defensive_solo_pct,so_receiving_yds_pct,so_rec_yds_share_pct,so_defensive_tfl_pct,so_defensive_pd_pct,so_defensive_sacks_pct,so_rush_share_pct,so_defensive_qb_hur_pct,so_receiving_td_pct,so_interceptions_int_pct,so_rushing_td_pct,so_passing_yds_pct,so_passing_td_pct,so_rec_td_share_pct,stars,recruit_rank,recruit_rating,recruit_rank_pct,recruit_rating_pct,years_since_recruit,blue_chip,power_conference,has_recruiting,has_sophomore_stats,has_junior_stats,junior_feature_coverage,transfer_or_school_mismatch
188,R6_7,RB,70,225,32.28061224489796,0.8846153846153846,0.34134615384615385,0.8536585365853658,12,0,0.7714285714285715,0.9357142857142857,0.8489208633093526,0.8142857142857143,0.9285714285714286,0.8201438848920863,0,0,0,0.8848920863309353,0,0,0,0.9142857142857143,0,0,0,,,,,,,,1,0,1,0,0,0
189,R2_3,CB,70,190,27.259183673469387,0.5924764890282131,0.09090909090909091,0.8048780487804879,12,3,0.08205128205128205,0.005128205128205128,0.005128205128205128,0.18974358974358974,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2771,0.8019,0.1901840490797546,0.25766871165644173,1,0,0,1,1,0,0,1
190,R6_7,CB,70,180,25.824489795918367,0.29780564263322884,0.09090909090909091,0.7804878048780488,0,0,0.08205128205128205,0.005128205128205128,0.005128205128205128,0.18974358974358974,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,1,0,0,0
191,R4_5,ILB,75,244,30.494577777777778,0.9355932203389831,0.8033898305084746,0.8048780487804879,24,2,0.9885057471264368,0.005747126436781609,0.005747126436781609,0.9827586206896551,0,0,0.9827586206896551,0.9942528735632183,0.9655172413793104,0,0.9770114942528736,0,0,0,0,0,0,5,18,0.9911,0.9927007299270073,0.9927007299270073,2,1,1,1,1,0,0,0
192,R2_3,RB,72,207,28.071180555555557,0.6394230769230769,0.7307692307692307,0.8536585365853658,16,1,0.7714285714285715,0.8214285714285714,0.45323741007194246,0.8142857142857143,0.75,0.7122302158273381,1,0,0,0.3597122302158273,0,0,0,0.7214285714285714,0,0,0,4,354,0.8956,0.9074074074074074,0.8888888888888888,0,1,1,1,1,0,0,0
193,R6_7,WR,74,189,24.263513513513512,0.5194805194805194,0.6623376623376623,0,0,0,,,,,,,,,,,,,,,,,,3,2280,0.8081,0.26973684210526316,0.26973684210526316,0,0,,1,0,0,0,0
194,R4_5,IDL,78,245,28.309500328731097,0.18292682926829268,0.9591836734693877,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
195,R1,CB,74,201,25.804054054054053,0.9028213166144201,0.8714733542319749,0.8048780487804879,10,3,0.9743589743589743,0.005128205128205128,0.005128205128205128,0.9794871794871794,0,0,1,0.9487179487179487,0,0,0,0,0,0,0,0,0,4,312,0.9,0.8773006134969326,0.8773006134969326,1,1,1,1,1,0,0,1
196,R1,IDL,77,269,31.895260583572274,0.4878048780487805,0.8489795918367347,0.8048780487804879,20,3,0.9710144927536232,0.007246376811594203,0.007246376811594203,0.9637681159420289,0,0,0.9710144927536232,0.8913043478260869,0.9782608695652174,0,0.9637681159420289,0,0,0,0,0,0,3,1063,0.8552,0.6355932203389831,0.6779661016949152,1,0,1,1,1,0,0,0
197,R2_3,IDL,75,235,29.369777777777777,0.08130081300813008,0.39183673469387753,0.8048780487804879,16,3,0.9855072463768116,0.007246376811594203,0.007246376811594203,1,0,0,0.9927536231884058,0.8913043478260869,1,0,0.9927536231884058,0,0,0,0,0,0,3,1396,0.85,0.5,0.6271186440677966,-2,0,1,1,1,0,0,0
